LegalEntity,Period,MainAccount,Amount,Currency,AccountName,AccountCategory,AmountUSD
DE01,2025-01,1000,431884.01,USD,Cash & Cash Equivalents,Asset,431884.01
DE01,2025-01,1200,204566.47,USD,Accounts Receivable,Asset,204566.47
DE01,2025-01,1500,982145.85,USD,"Fixed Assets, net",Asset,982145.85
DE01,2025-01,2000,156681.16,USD,Accounts Payable,Liability,156681.16
DE01,2025-01,2100,64380.63,USD,Accrued Liabilities,Liability,64380.63
DE01,2025-01,2500,542820.0,USD,Long-term Debt,Liability,542820.0
DE01,2025-01,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-01,3900,418714.53,USD,Retained Earnings,Equity,418714.53
DE01,2025-02,1000,614216.49,USD,Cash & Cash Equivalents,Asset,614216.49
DE01,2025-02,1200,205113.77,USD,Accounts Receivable,Asset,205113.77
DE01,2025-02,1500,983155.94,USD,"Fixed Assets, net",Asset,983155.94
DE01,2025-02,2000,161348.44,USD,Accounts Payable,Liability,161348.44
DE01,2025-02,2100,64172.96,USD,Accrued Liabilities,Liability,64172.96
DE01,2025-02,2500,540648.72,USD,Long-term Debt,Liability,540648.72
DE01,2025-02,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-02,3900,600316.07,USD,Retained Earnings,Equity,600316.07
DE01,2025-03,1000,789596.21,USD,Cash & Cash Equivalents,Asset,789596.21
DE01,2025-03,1200,208445.22,USD,Accounts Receivable,Asset,208445.22
DE01,2025-03,1500,984330.73,USD,"Fixed Assets, net",Asset,984330.73
DE01,2025-03,2000,164785.03,USD,Accounts Payable,Liability,164785.03
DE01,2025-03,2100,63746.03,USD,Accrued Liabilities,Liability,63746.03
DE01,2025-03,2500,538486.13,USD,Long-term Debt,Liability,538486.13
DE01,2025-03,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-03,3900,779354.98,USD,Retained Earnings,Equity,779354.98
DE01,2025-04,1000,963958.75,USD,Cash & Cash Equivalents,Asset,963958.75
DE01,2025-04,1200,210266.65,USD,Accounts Receivable,Asset,210266.65
DE01,2025-04,1500,985504.18,USD,"Fixed Assets, net",Asset,985504.18
DE01,2025-04,2000,158181.86,USD,Accounts Payable,Liability,158181.86
DE01,2025-04,2100,63221.64,USD,Accrued Liabilities,Liability,63221.64
DE01,2025-04,2500,536332.18,USD,Long-term Debt,Liability,536332.18
DE01,2025-04,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-04,3900,965993.89,USD,Retained Earnings,Equity,965993.89
DE01,2025-05,1000,1146214.63,USD,Cash & Cash Equivalents,Asset,1146214.63
DE01,2025-05,1200,211508.94,USD,Accounts Receivable,Asset,211508.94
DE01,2025-05,1500,986711.0,USD,"Fixed Assets, net",Asset,986711.0
DE01,2025-05,2000,156562.4,USD,Accounts Payable,Liability,156562.4
DE01,2025-05,2100,65354.05,USD,Accrued Liabilities,Liability,65354.05
DE01,2025-05,2500,534186.85,USD,Long-term Debt,Liability,534186.85
DE01,2025-05,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-05,3900,1152331.27,USD,Retained Earnings,Equity,1152331.27
DE01,2025-06,1000,1332193.6,USD,Cash & Cash Equivalents,Asset,1332193.6
DE01,2025-06,1200,209218.52,USD,Accounts Receivable,Asset,209218.52
DE01,2025-06,1500,987868.81,USD,"Fixed Assets, net",Asset,987868.81
DE01,2025-06,2000,156962.29,USD,Accounts Payable,Liability,156962.29
DE01,2025-06,2100,65984.79,USD,Accrued Liabilities,Liability,65984.79
DE01,2025-06,2500,532050.1,USD,Long-term Debt,Liability,532050.1
DE01,2025-06,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-06,3900,1338283.74,USD,Retained Earnings,Equity,1338283.74
DE01,2025-07,1000,1509702.76,USD,Cash & Cash Equivalents,Asset,1509702.76
DE01,2025-07,1200,215542.34,USD,Accounts Receivable,Asset,215542.34
DE01,2025-07,1500,989038.05,USD,"Fixed Assets, net",Asset,989038.05
DE01,2025-07,2000,154872.63,USD,Accounts Payable,Liability,154872.63
DE01,2025-07,2100,67647.96,USD,Accrued Liabilities,Liability,67647.96
DE01,2025-07,2500,529921.9,USD,Long-term Debt,Liability,529921.9
DE01,2025-07,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-07,3900,1525840.66,USD,Retained Earnings,Equity,1525840.66
DE01,2025-08,1000,1671293.62,USD,Cash & Cash Equivalents,Asset,1671293.62
DE01,2025-08,1200,217573.04,USD,Accounts Receivable,Asset,217573.04
DE01,2025-08,1500,990140.0,USD,"Fixed Assets, net",Asset,990140.0
DE01,2025-08,2000,153918.86,USD,Accounts Payable,Liability,153918.86
DE01,2025-08,2100,68610.06,USD,Accrued Liabilities,Liability,68610.06
DE01,2025-08,2500,527802.22,USD,Long-term Debt,Liability,527802.22
DE01,2025-08,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-08,3900,1692675.52,USD,Retained Earnings,Equity,1692675.52
DE01,2025-09,1000,1835587.29,USD,Cash & Cash Equivalents,Asset,1835587.29
DE01,2025-09,1200,220170.22,USD,Accounts Receivable,Asset,220170.22
DE01,2025-09,1500,991133.66,USD,"Fixed Assets, net",Asset,991133.66
DE01,2025-09,2000,153918.32,USD,Accounts Payable,Liability,153918.32
DE01,2025-09,2100,69179.86,USD,Accrued Liabilities,Liability,69179.86
DE01,2025-09,2500,525691.01,USD,Long-term Debt,Liability,525691.01
DE01,2025-09,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-09,3900,1862101.98,USD,Retained Earnings,Equity,1862101.98
DE01,2025-10,1000,1997427.31,USD,Cash & Cash Equivalents,Asset,1997427.31
DE01,2025-10,1200,221014.28,USD,Accounts Receivable,Asset,221014.28
DE01,2025-10,1500,992151.89,USD,"Fixed Assets, net",Asset,992151.89
DE01,2025-10,2000,155702.11,USD,Accounts Payable,Liability,155702.11
DE01,2025-10,2100,70341.99,USD,Accrued Liabilities,Liability,70341.99
DE01,2025-10,2500,523588.24,USD,Long-term Debt,Liability,523588.24
DE01,2025-10,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-10,3900,2024961.13,USD,Retained Earnings,Equity,2024961.13
DE01,2025-11,1000,2163028.17,USD,Cash & Cash Equivalents,Asset,2163028.17
DE01,2025-11,1200,227772.33,USD,Accounts Receivable,Asset,227772.33
DE01,2025-11,1500,993291.23,USD,"Fixed Assets, net",Asset,993291.23
DE01,2025-11,2000,154107.57,USD,Accounts Payable,Liability,154107.57
DE01,2025-11,2100,72975.03,USD,Accrued Liabilities,Liability,72975.03
DE01,2025-11,2500,521493.89,USD,Long-term Debt,Liability,521493.89
DE01,2025-11,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-11,3900,2199515.24,USD,Retained Earnings,Equity,2199515.24
DE01,2025-12,1000,2353578.49,USD,Cash & Cash Equivalents,Asset,2353578.49
DE01,2025-12,1200,223916.06,USD,Accounts Receivable,Asset,223916.06
DE01,2025-12,1500,994421.39,USD,"Fixed Assets, net",Asset,994421.39
DE01,2025-12,2000,155228.11,USD,Accounts Payable,Liability,155228.11
DE01,2025-12,2100,74063.34,USD,Accrued Liabilities,Liability,74063.34
DE01,2025-12,2500,519407.92,USD,Long-term Debt,Liability,519407.92
DE01,2025-12,3000,436000.0,USD,Share Capital,Equity,436000.0
DE01,2025-12,3900,2387216.57,USD,Retained Earnings,Equity,2387216.57
DE02,2025-01,1000,356021.51,USD,Cash & Cash Equivalents,Asset,356021.51
DE02,2025-01,1200,199042.98,USD,Accounts Receivable,Asset,199042.98
DE02,2025-01,1500,981555.74,USD,"Fixed Assets, net",Asset,981555.74
DE02,2025-01,2000,152543.25,USD,Accounts Payable,Liability,152543.25
