LegalEntity,Period,MainAccount,CostCenter,Amount,Currency,AccountName,AccountCategory,AmountUSD
DE01,2025-01,4000,UNALLOCATED,341006.88,EUR,Revenue - Product Sales,Revenue,371697.5
DE01,2025-01,4010,UNALLOCATED,146145.81,EUR,Revenue - Services,Revenue,159298.93
DE01,2025-01,5000,CC200,155888.86,EUR,COGS - Materials,COGS,169918.86
DE01,2025-01,5010,CC200,29229.16,EUR,COGS - Freight,COGS,31859.78
DE01,2025-01,6000,CC300,77405.58,EUR,Salaries & Wages,OpEx,84372.08
DE01,2025-01,6010,CC100,25146.44,EUR,Marketing Expense,OpEx,27409.62
DE01,2025-01,6020,CC400,13106.25,EUR,IT & Software,OpEx,14285.81
DE01,2025-01,6030,CC300,9628.99,EUR,Facilities & Rent,OpEx,10495.6
DE01,2025-01,6040,CC300,7221.74,EUR,Professional Fees,OpEx,7871.7
DE01,2025-01,7000,CC200,10512.37,EUR,Depreciation & Amortization,OpEx,11458.48
DE01,2025-01,8000,UNALLOCATED,4871.53,EUR,Interest Expense,NonOp,5309.97
DE01,2025-02,4000,UNALLOCATED,361972.04,EUR,Revenue - Product Sales,Revenue,390929.8
DE01,2025-02,4010,UNALLOCATED,155130.87,EUR,Revenue - Services,Revenue,167541.34
DE01,2025-02,5000,CC200,165472.93,EUR,COGS - Materials,COGS,178710.76
DE01,2025-02,5010,CC200,31026.17,EUR,COGS - Freight,COGS,33508.26
DE01,2025-02,6000,CC300,80794.33,EUR,Salaries & Wages,OpEx,87257.88
DE01,2025-02,6010,CC100,26556.54,EUR,Marketing Expense,OpEx,28681.06
DE01,2025-02,6020,CC400,12628.03,EUR,IT & Software,OpEx,13638.27
DE01,2025-02,6030,CC300,10101.23,EUR,Facilities & Rent,OpEx,10909.33
DE01,2025-02,6040,CC300,7850.38,EUR,Professional Fees,OpEx,8478.41
DE01,2025-02,7000,CC200,9352.7,EUR,Depreciation & Amortization,OpEx,10100.92
DE01,2025-02,8000,UNALLOCATED,5171.03,EUR,Interest Expense,NonOp,5584.71
DE01,2025-03,4000,UNALLOCATED,351468.52,EUR,Revenue - Product Sales,Revenue,383100.69
DE01,2025-03,4010,UNALLOCATED,150629.36,EUR,Revenue - Services,Revenue,164186.0
DE01,2025-03,5000,CC200,160671.32,EUR,COGS - Materials,COGS,175131.74
DE01,2025-03,5010,CC200,30125.87,EUR,COGS - Freight,COGS,32837.2
DE01,2025-03,6000,CC300,78077.07,EUR,Salaries & Wages,OpEx,85104.01
DE01,2025-03,6010,CC100,23833.54,EUR,Marketing Expense,OpEx,25978.56
DE01,2025-03,6020,CC400,12749.68,EUR,IT & Software,OpEx,13897.15
DE01,2025-03,6030,CC300,9586.04,EUR,Facilities & Rent,OpEx,10448.78
DE01,2025-03,6040,CC300,6999.63,EUR,Professional Fees,OpEx,7629.6
DE01,2025-03,7000,CC200,10777.86,EUR,Depreciation & Amortization,OpEx,11747.87
DE01,2025-03,8000,UNALLOCATED,5020.98,EUR,Interest Expense,NonOp,5472.87
DE01,2025-04,4000,UNALLOCATED,376761.0,EUR,Revenue - Product Sales,Revenue,403134.27
DE01,2025-04,4010,UNALLOCATED,161469.0,EUR,Revenue - Services,Revenue,172771.83
DE01,2025-04,5000,CC200,172233.6,EUR,COGS - Materials,COGS,184289.95
DE01,2025-04,5010,CC200,32293.8,EUR,COGS - Freight,COGS,34554.37
DE01,2025-04,6000,CC300,86407.57,EUR,Salaries & Wages,OpEx,92456.1
