LegalEntity,Period,MainAccount,BudgetAmount
DE01,2025-01,4000,509235.01
DE01,2025-02,4000,519450.01
DE01,2025-03,4000,502903.7
DE01,2025-04,4000,508049.25
DE01,2025-05,4000,510956.65
DE01,2025-06,4000,499955.7
DE01,2025-07,4000,506258.85
DE01,2025-08,4000,504126.93
DE01,2025-09,4000,504984.58
DE01,2025-10,4000,496208.06
DE01,2025-11,4000,504247.06
DE01,2025-12,4000,509019.82
DE01,2025-01,4010,259313.76
DE01,2025-02,4010,256834.72
DE01,2025-03,4010,262852.04
DE01,2025-04,4010,248132.57
DE01,2025-05,4010,256396.5
DE01,2025-06,4010,252924.04
DE01,2025-07,4010,263036.61
DE01,2025-08,4010,247926.18
DE01,2025-09,4010,247767.8
DE01,2025-10,4010,248979.06
DE01,2025-11,4010,241295.57
DE01,2025-12,4010,249350.19
DE01,2025-01,5000,165449.31
DE01,2025-02,5000,168505.32
DE01,2025-03,5000,169148.3
DE01,2025-04,5000,174303.93
DE01,2025-05,5000,171193.42
DE01,2025-06,5000,166061.6
DE01,2025-07,5000,164981.33
DE01,2025-08,5000,169652.85
DE01,2025-09,5000,163564.02
DE01,2025-10,5000,174153.7
DE01,2025-11,5000,171962.92
DE01,2025-12,5000,166423.57
DE01,2025-01,5010,162243.87
DE01,2025-02,5010,172549.01
DE01,2025-03,5010,167615.15
DE01,2025-04,5010,172159.06
DE01,2025-05,5010,162642.72
DE01,2025-06,5010,165986.1
DE01,2025-07,5010,168017.62
DE01,2025-08,5010,168157.85
DE01,2025-09,5010,166487.78
DE01,2025-10,5010,170092.78
DE01,2025-11,5010,164412.8
DE01,2025-12,5010,167521.6
DE01,2025-01,6000,35284.69
DE01,2025-02,6000,35562.16
DE01,2025-03,6000,35700.98
DE01,2025-04,6000,34408.25
DE01,2025-05,6000,34119.98
DE01,2025-06,6000,36099.48
DE01,2025-07,6000,35433.95
DE01,2025-08,6000,34673.07
DE01,2025-09,6000,36292.01
DE01,2025-10,6000,35281.43
DE01,2025-11,6000,36030.23
DE01,2025-12,6000,35247.53
DE01,2025-01,6010,36650.77
DE01,2025-02,6010,36435.76
DE01,2025-03,6010,35024.73
DE01,2025-04,6010,35883.99
DE01,2025-05,6010,35654.34
DE01,2025-06,6010,36163.52
DE01,2025-07,6010,34520.69
DE01,2025-08,6010,35682.98
DE01,2025-09,6010,35945.13
DE01,2025-10,6010,33961.85
DE01,2025-11,6010,34366.99
DE01,2025-12,6010,33764.38
DE01,2025-01,6020,35010.34
DE01,2025-02,6020,35705.15
DE01,2025-03,6020,36257.66
DE01,2025-04,6020,35252.16
DE01,2025-05,6020,36346.55
DE01,2025-06,6020,34228.41
DE01,2025-07,6020,34000.82
DE01,2025-08,6020,35160.89
DE01,2025-09,6020,35470.38
DE01,2025-10,6020,35176.98
DE01,2025-11,6020,33744.52
DE01,2025-12,6020,35137.26
DE01,2025-01,6030,34281.65
DE01,2025-02,6030,35671.45
DE01,2025-03,6030,35458.09
DE01,2025-04,6030,34538.32
DE01,2025-05,6030,34838.24
DE01,2025-06,6030,34454.31
DE01,2025-07,6030,35155.87
DE01,2025-08,6030,35872.42
DE01,2025-09,6030,34506.05
DE01,2025-10,6030,35554.85
DE01,2025-11,6030,34826.7
DE01,2025-12,6030,34641.82
DE01,2025-01,6040,35124.65
DE01,2025-02,6040,34471.19
DE01,2025-03,6040,34810.23
DE01,2025-04,6040,34356.69
DE01,2025-05,6040,36583.17
DE01,2025-06,6040,35224.83
DE01,2025-07,6040,34707.39
DE01,2025-08,6040,35350.64
DE01,2025-09,6040,35120.92
DE01,2025-10,6040,35044.44
DE01,2025-11,6040,35632.37
DE01,2025-12,6040,35733.29
DE01,2025-01,7000,34826.53
DE01,2025-02,7000,34794.62
DE01,2025-03,7000,35006.36
DE01,2025-04,7000,33579.45
DE01,2025-05,7000,34133.31
DE01,2025-06,7000,36162.28
DE01,2025-07,7000,36358.06
DE01,2025-08,7000,35024.68
DE01,2025-09,7000,35605.9
DE01,2025-10,7000,35419.12
DE01,2025-11,7000,37367.53
DE01,2025-12,7000,35988.18
DE01,2025-01,8000,4787.72
DE01,2025-02,8000,4708.27
DE01,2025-03,8000,4645.78
DE01,2025-04,8000,4819.53
DE01,2025-05,8000,4727.39
DE01,2025-06,8000,4663.46
DE01,2025-07,8000,4737.93
DE01,2025-08,8000,4696.17
DE01,2025-09,8000,4961.97
DE01,2025-10,8000,4884.64
DE01,2025-11,8000,4799.23
DE01,2025-12,8000,4942.07
DE02,2025-01,4000,273422.43
DE02,2025-02,4000,268297.39
DE02,2025-03,4000,281316.26
DE02,2025-04,4000,275942.45
DE02,2025-05,4000,267336.64
DE02,2025-06,4000,271960.75
DE02,2025-07,4000,268219.12
DE02,2025-08,4000,265449.91
DE02,2025-09,4000,278056.93
DE02,2025-10,4000,283425.41
DE02,2025-11,4000,265363.82
DE02,2025-12,4000,276073.81
DE02,2025-01,4010,134723.75
DE02,2025-02,4010,135170.15
DE02,2025-03,4010,134882.76
DE02,2025-04,4010,134141.31
DE02,2025-05,4010,136632.46
DE02,2025-06,4010,134231.51
DE02,2025-07,4010,137238.35
DE02,2025-08,4010,136362.85
DE02,2025-09,4010,135847.67
DE02,2025-10,4010,134022.35
DE02,2025-11,4010,134925.41
DE02,2025-12,4010,138562.22
DE02,2025-01,5000,91911.67
DE02,2025-02,5000,89220.85
DE02,2025-03,5000,91180.78
DE02,2025-04,5000,92367.52
DE02,2025-05,5000,87961.68
DE02,2025-06,5000,91988.92
DE02,2025-07,5000,89794.02
DE02,2025-08,5000,92038.49
DE02,2025-09,5000,89610.87
DE02,2025-10,5000,87715.11
DE02,2025-11,5000,88037.87
DE02,2025-12,5000,91087.51
DE02,2025-01,5010,91472.69
DE02,2025-02,5010,89354.14
DE02,2025-03,5010,92162.24
DE02,2025-04,5010,87976.03
DE02,2025-05,5010,90879.73
DE02,2025-06,5010,88795.95
DE02,2025-07,5010,89813.66
DE02,2025-08,5010,91086.27
DE02,2025-09,5010,89434.05
DE02,2025-10,5010,90300.11
DE02,2025-11,5010,92831.45
DE02,2025-12,5010,89950.06
DE02,2025-01,6000,19385.34
DE02,2025-02,6000,18635.87
DE02,2025-03,6000,19268.7
DE02,2025-04,6000,19616.38
DE02,2025-05,6000,18124.15
DE02,2025-06,6000,18762.78
DE02,2025-07,6000,19286.72
DE02,2025-08,6000,18989.24
DE02,2025-09,6000,19208.2
DE02,2025-10,6000,18836.35
DE02,2025-11,6000,19099.69
DE02,2025-12,6000,19007.3
DE02,2025-01,6010,19511.98
DE02,2025-02,6010,19163.69
DE02,2025-03,6010,19195.41
DE02,2025-04,6010,18909.6
DE02,2025-05,6010,18880.73
DE02,2025-06,6010,18901.72
DE02,2025-07,6010,19217.08
DE02,2025-08,6010,18906.13
DE02,2025-09,6010,19177.17
DE02,2025-10,6010,19858.09
DE02,2025-11,6010,19398.86
DE02,2025-12,6010,18942.34
DE02,2025-01,6020,19524.73
DE02,2025-02,6020,18911.05
DE02,2025-03,6020,18289.46
DE02,2025-04,6020,18682.25
DE02,2025-05,6020,18353.27
DE02,2025-06,6020,18932.62
DE02,2025-07,6020,19073.69
DE02,2025-08,6020,19705.95
DE02,2025-09,6020,19191.33
DE02,2025-10,6020,18983.12
DE02,2025-11,6020,19382.95
DE02,2025-12,6020,18223.49
DE02,2025-01,6030,19156.51
DE02,2025-02,6030,19360.62
DE02,2025-03,6030,18502.83
DE02,2025-04,6030,19502.82
DE02,2025-05,6030,19195.75
DE02,2025-06,6030,18908.3
DE02,2025-07,6030,19307.97
DE02,2025-08,6030,19932.56
DE02,2025-09,6030,19136.02
DE02,2025-10,6030,19161.32
DE02,2025-11,6030,18891.5
DE02,2025-12,6030,18742.59
DE02,2025-01,6040,19383.3
DE02,2025-02,6040,18740.21
DE02,2025-03,6040,19093.96
DE02,2025-04,6040,18884.52
DE02,2025-05,6040,19249.32
DE02,2025-06,6040,19193.9
DE02,2025-07,6040,19462.32
DE02,2025-08,6040,18872.18
DE02,2025-09,6040,18963.75
DE02,2025-10,6040,18693.43
DE02,2025-11,6040,18897.24
DE02,2025-12,6040,19210.54
DE02,2025-01,7000,19355.33
DE02,2025-02,7000,18715.01
DE02,2025-03,7000,19398.28
DE02,2025-04,7000,19583.62
DE02,2025-05,7000,19224.32
DE02,2025-06,7000,19782.35
DE02,2025-07,7000,18771.6
DE02,2025-08,7000,18592.04
DE02,2025-09,7000,18388.38
DE02,2025-10,7000,19637.16
DE02,2025-11,7000,19316.2
DE02,2025-12,7000,19045.47
DE02,2025-01,8000,2614.56
DE02,2025-02,8000,2541.47
DE02,2025-03,8000,2727.18
DE02,2025-04,8000,2606.72
DE02,2025-05,8000,2605.69
DE02,2025-06,8000,2637.74
DE02,2025-07,8000,2625.01
DE02,2025-08,8000,2611.64
DE02,2025-09,8000,2558.9
DE02,2025-10,8000,2624.52
DE02,2025-11,8000,2697.87
DE02,2025-12,8000,2669.96
US01,2025-01,4000,660908.72
US01,2025-02,4000,633951.33
US01,2025-03,4000,627823.16
US01,2025-04,4000,638888.67
US01,2025-05,4000,641213.84
US01,2025-06,4000,654516.59
US01,2025-07,4000,618819.53
US01,2025-08,4000,660093.54
US01,2025-09,4000,638475.92
US01,2025-10,4000,635031.65
US01,2025-11,4000,627534.94
US01,2025-12,4000,619301.29
US01,2025-01,4010,325522.41
US01,2025-02,4010,320719.6
US01,2025-03,4010,311987.8
US01,2025-04,4010,311955.02
US01,2025-05,4010,318099.3
US01,2025-06,4010,330940.08
US01,2025-07,4010,318587.32
US01,2025-08,4010,310622.37
US01,2025-09,4010,318676.02
US01,2025-10,4010,318503.21
US01,2025-11,4010,302976.44
US01,2025-12,4010,319902.24
US01,2025-01,5000,212513.91
US01,2025-02,5000,216472.8
US01,2025-03,5000,221395.04
US01,2025-04,5000,218310.43
US01,2025-05,5000,212351.85
US01,2025-06,5000,208775.13
US01,2025-07,5000,224488.25
US01,2025-08,5000,213752.86
US01,2025-09,5000,213559.48
US01,2025-10,5000,213396.99
US01,2025-11,5000,214345.82
US01,2025-12,5000,212883.58
US01,2025-01,5010,211050.46
US01,2025-02,5010,211164.91
US01,2025-03,5010,213360.14
US01,2025-04,5010,211179.58
US01,2025-05,5010,210456.15
US01,2025-06,5010,213954.46
US01,2025-07,5010,212411.25
US01,2025-08,5010,219922.05
US01,2025-09,5010,202180.36
US01,2025-10,5010,218160.73
US01,2025-11,5010,218820.78
US01,2025-12,5010,204646.62
US01,2025-01,6000,44426.74
US01,2025-02,6000,44401.02
US01,2025-03,6000,43474.08
US01,2025-04,6000,44037.45
US01,2025-05,6000,43739.74
US01,2025-06,6000,46301.03
US01,2025-07,6000,45570.45
US01,2025-08,6000,45870.95
US01,2025-09,6000,45378.99
US01,2025-10,6000,43723.21
US01,2025-11,6000,44264.06
US01,2025-12,6000,45171.16
US01,2025-01,6010,43639.94
US01,2025-02,6010,45371.23
US01,2025-03,6010,44518.32
US01,2025-04,6010,44397.99
US01,2025-05,6010,45369.41
US01,2025-06,6010,45130.8
US01,2025-07,6010,44410.39
US01,2025-08,6010,45770.55
US01,2025-09,6010,43766.14
US01,2025-10,6010,45284.39
US01,2025-11,6010,45263.96
US01,2025-12,6010,44456.39
US01,2025-01,6020,45025.11
US01,2025-02,6020,43614.0
US01,2025-03,6020,45560.03
US01,2025-04,6020,44567.91
US01,2025-05,6020,44265.67
US01,2025-06,6020,45671.85
US01,2025-07,6020,44103.18
US01,2025-08,6020,43473.23
US01,2025-09,6020,43340.67
US01,2025-10,6020,45275.51
US01,2025-11,6020,43587.78
US01,2025-12,6020,46303.29
US01,2025-01,6030,42870.7
US01,2025-02,6030,46251.1
US01,2025-03,6030,44922.12
US01,2025-04,6030,44646.81
US01,2025-05,6030,44245.81
