LegalEntity,Period,MainAccount,Amount,Currency
DE01,2025-01,1000,431884.01,USD
DE01,2025-01,1200,204566.47,USD
DE01,2025-01,1500,982145.85,USD
DE01,2025-01,2000,156681.16,USD
DE01,2025-01,2100,64380.63,USD
DE01,2025-01,2500,542820.0,USD
DE01,2025-01,3000,436000.0,USD
DE01,2025-01,3900,418714.53,USD
DE01,2025-02,1000,614216.49,USD
DE01,2025-02,1200,205113.77,USD
DE01,2025-02,1500,983155.94,USD
DE01,2025-02,2000,161348.44,USD
DE01,2025-02,2100,64172.96,USD
DE01,2025-02,2500,540648.72,USD
DE01,2025-02,3000,436000.0,USD
DE01,2025-02,3900,600316.07,USD
DE01,2025-03,1000,789596.21,USD
DE01,2025-03,1200,208445.22,USD
DE01,2025-03,1500,984330.73,USD
DE01,2025-03,2000,164785.03,USD
DE01,2025-03,2100,63746.03,USD
DE01,2025-03,2500,538486.13,USD
DE01,2025-03,3000,436000.0,USD
DE01,2025-03,3900,779354.98,USD
DE01,2025-04,1000,963958.75,USD
DE01,2025-04,1200,210266.65,USD
DE01,2025-04,1500,985504.18,USD
DE01,2025-04,2000,158181.86,USD
DE01,2025-04,2100,63221.64,USD
DE01,2025-04,2500,536332.18,USD
DE01,2025-04,3000,436000.0,USD
DE01,2025-04,3900,965993.89,USD
DE01,2025-05,1000,1146214.63,USD
DE01,2025-05,1200,211508.94,USD
DE01,2025-05,1500,986711.0,USD
DE01,2025-05,2000,156562.4,USD
DE01,2025-05,2100,65354.05,USD
DE01,2025-05,2500,534186.85,USD
DE01,2025-05,3000,436000.0,USD
DE01,2025-05,3900,1152331.27,USD
DE01,2025-06,1000,1332193.6,USD
DE01,2025-06,1200,209218.52,USD
DE01,2025-06,1500,987868.81,USD
DE01,2025-06,2000,156962.29,USD
DE01,2025-06,2100,65984.79,USD
DE01,2025-06,2500,532050.1,USD
DE01,2025-06,3000,436000.0,USD
DE01,2025-06,3900,1338283.74,USD
DE01,2025-07,1000,1509702.76,USD
DE01,2025-07,1200,215542.34,USD
DE01,2025-07,1500,989038.05,USD
