LegalEntity ,Period,MainAccount,CostCenter,Amount,Currency
DE01,2025-01,4000,,341006.88,EUR
de01,2025-01,4010,,146145.81,EUR
DE01,2025-01,5000,CC200,155888.86,EUR
DE01,2025-01,5010,CC200,29229.16,EUR
DE01,2025-01,6000,CC300,77405.58,EUR
DE01,2025-01,6010,CC100,25146.44,EUR
DE01,2025-01,6020,CC400,13106.25,EUR
DE01,2025-01,6030,CC300,9628.99,EUR
DE01,2025-01,6040,CC300,7221.74,EUR
de01,2025-01,7000,CC200,10512.37,EUR
DE01,2025-01,8000,,4871.53,EUR
DE01,2025-02,4000,,361972.04,EUR
de01,2025-02,4010,,155130.87,EUR
DE01,2025-02,5000,CC200,165472.93,EUR
DE01,2025-02,5010,CC200,31026.17,EUR
DE01,2025-02,6000,CC300,80794.33,EUR
DE01,2025-02,6010,CC100,26556.54,EUR
DE01,2025-02,6020,CC400,12628.03,EUR
DE01,2025-02,6030,CC300,10101.23,EUR
de01,2025-02,6040,CC300,7850.38,EUR
DE01,2025-02,7000,CC200,9352.7,EUR
DE01,2025-02,8000,,5171.03,EUR
DE01,2025-03,4000,,351468.52,EUR
DE01,2025-03,4010,,150629.36,EUR
DE01,2025-03,5000,CC200,160671.32,EUR
DE01,2025-03,5010,CC200,30125.87,EUR
DE01,2025-03,6000,CC300,78077.07,EUR
DE01,2025-03,6010,CC100,23833.54,EUR
DE01,2025-03,6020,CC400,12749.68,EUR
DE01,2025-03,6030,CC300,9586.04,EUR
DE01,2025-03,6040,CC300,6999.63,EUR
DE01,2025-03,7000,CC200,10777.86,EUR
DE01,2025-03,8000,,5020.98,EUR
DE01,2025-04,4000,,376761.0,EUR
DE01,2025-04,4010,,161469.0,EUR
DE01,2025-04,5000,CC200,172233.6,EUR
DE01,2025-04,5010,CC200,32293.8,EUR
DE01,2025-04,6000,CC300,86407.57,EUR
DE01,2025-04,6010,CC100,24994.39,EUR
DE01,2025-04,6020,CC400,13089.5,EUR
DE01,2025-04,6030,CC300,10824.3,EUR
de01,2025-04,6040,CC300,7608.83,EUR
DE01,2025-04,7000,CC200,10966.81,EUR
DE01,2025-04,8000,,5382.3,EUR
DE01,2025-05,4000,,375650.73,EUR
DE01,2025-05,4010,,160993.17,EUR
DE01,2025-05,5000,CC200,171726.05,EUR
DE01,2025-05,5010,CC200,32198.63,EUR
DE01,2025-05,6000,CC300,84610.74,EUR
DE01,2025-05,6010,CC100,26024.94,EUR
DE01,2025-05,6020,CC400,14658.61,EUR
DE01,2025-05,6030,CC300,10725.63,EUR
DE01,2025-05,6040,CC300,7623.95,EUR
DE01,2025-05,7000,CC200,11174.29,EUR
DE01,2025-05,8000,,5366.44,EUR
DE01,2025-06,4000,,365264.39,EUR
DE01,2025-06,4010,,156541.88,EUR
DE01,2025-06,5000,CC200,166978.01,EUR
DE01,2025-06,5010,CC200,31308.38,EUR
DE01,2025-06,6000,CC300,84360.89,EUR
DE01,2025-06,6010,CC100,23533.89,EUR
DE01,2025-06,6020,CC400,12178.84,EUR
DE01,2025-06,6030,CC300,10538.85,EUR
DE01,2025-06,6040,CC300,8116.1,EUR
DE01,2025-06,7000,CC200,10525.55,EUR
DE01,2025-06,8000,,5218.06,EUR
DE01,2025-07,4000,,369104.05,EUR
de01,2025-07,4010,,158187.45,EUR
DE01,2025-07,5000,CC200,168733.28,EUR
DE01,2025-07,5010,CC200,31637.49,EUR
DE01,2025-07,6000,CC300,83096.49,EUR
DE01,2025-07,6010,CC100,24415.54,EUR
DE01,2025-07,6020,CC400,12707.83,EUR
DE01,2025-07,6030,CC300,10302.94,EUR
DE01,2025-07,6040,CC300,8327.43,EUR
DE01,2025-07,7000,CC200,10727.02,EUR
DE01,2025-07,8000,,5272.92,EUR
DE01,2025-08,4000,,341223.45,EUR
DE01,2025-08,4010,,146238.62,EUR
DE01,2025-08,5000,CC200,155987.86,EUR
DE01,2025-08,5010,CC200,29247.72,EUR
DE01,2025-08,6000,CC300,79257.76,EUR
DE01,2025-08,6010,CC100,23903.82,EUR
DE01,2025-08,6020,CC400,11774.08,EUR
DE01,2025-08,6030,CC300,10047.41,EUR
DE01,2025-08,6040,CC300,7688.86,EUR
DE01,2025-08,7000,CC200,10203.21,EUR
DE01,2025-08,8000,,4874.62,EUR
DE01,2025-09,4000,,344061.58,EUR
de01,2025-09,4010,,147454.96,EUR
DE01,2025-09,5000,CC200,157285.29,EUR
DE01,2025-09,5010,CC200,29490.99,EUR
DE01,2025-09,6000,CC300,77426.78,EUR
DE01,2025-09,6010,CC100,24982.88,EUR
DE01,2025-09,6020,CC400,12887.28,EUR
DE01,2025-09,6030,CC300,9594.81,EUR
DE01,2025-09,6040,CC300,7304.31,EUR
DE01,2025-09,7000,CC200,9286.55,EUR
DE01,2025-09,8000,,4915.17,EUR
DE01,2025-10,4000,,337851.17,EUR
de01,2025-10,4010,,144793.36,EUR
DE01,2025-10,5000,CC200,154446.25,EUR
DE01,2025-10,5010,CC200,28958.67,EUR
DE01,2025-10,6000,CC300,80360.41,EUR
DE01,2025-10,6010,CC100,25768.68,EUR
DE01,2025-10,6020,CC400,12022.67,EUR
DE01,2025-10,6030,CC300,10137.24,EUR
DE01,2025-10,6040,CC300,7370.57,EUR
DE01,2025-10,7000,CC200,9341.53,EUR
DE01,2025-10,8000,,4826.45,EUR
DE01,2025-11,4000,,360947.03,EUR
DE01,2025-11,4010,,154691.58,EUR
DE01,2025-11,5000,CC200,165004.36,EUR
DE01,2025-11,5010,CC200,30938.32,EUR
DE01,2025-11,6000,CC300,88846.75,EUR
DE01,2025-11,6010,CC100,25735.75,EUR
DE01,2025-11,6020,CC400,13899.45,EUR
DE01,2025-11,6030,CC300,8961.93,EUR
DE01,2025-11,6040,CC300,8052.43,EUR
DE01,2025-11,7000,CC200,10357.66,EUR
DE01,2025-11,8000,,5156.39,EUR
DE01,2025-12,4000,,365834.56,EUR
DE01,2025-12,4010,,156786.24,EUR
DE01,2025-12,5000,CC200,167238.66,EUR
de01,2025-12,5010,CC200,31357.25,EUR
DE01,2025-12,6000,CC300,84002.98,EUR
de01,2025-12,6010,CC100,23534.18,EUR
DE01,2025-12,6020,CC400,12922.01,EUR
DE01,2025-12,6030,CC300,10639.05,EUR
DE01,2025-12,6040,CC300,8418.6,EUR
DE01,2025-12,7000,CC200,10181.56,EUR
DE01,2025-12,8000,,5226.21,EUR
DE02,2025-01,4000,,177585.62,EUR
DE02,2025-01,4010,,76108.12,EUR
DE02,2025-01,5000,CC200,81182.0,EUR
DE02,2025-01,5010,CC200,15221.62,EUR
DE02,2025-01,6000,CC300,39572.66,EUR
DE02,2025-01,6010,CC100,13265.27,EUR
DE02,2025-01,6020,CC400,6446.6,EUR
